year,playoff,confID,per,eff,awardCount,teamChange,coachWLRatio
9,0,EA,13.166803310993533,0.2950420183603099,0.0,0.4535087443952845,1.3514030672882233
10,1,EA,11.3985911857862,0.33161829083720196,0.0,0.6428571428571429,0.13333333333333333
1,0,EA,13.166803310993533,0.2950420183603099,0.0,0.4535087443952845,1.3514030672882233
2,1,EA,12.237540213253201,0.30645575934642844,0.0,0.6153846153846154,0.391304347826087
3,1,EA,17.755260214282274,0.312389252735256,0.0,0.16666666666666666,1.2222222222222223
4,1,EA,20.80061487594959,0.3649116969241677,0.0,0.46153846153846156,1.3514030672882233
5,0,EA,16.80316574124528,0.34127596111728337,0.0,0.36363636363636365,1.0
6,0,EA,13.143755864731704,0.2934091777731127,0.0,0.5,1.3514030672882233
6,0,EA,13.143755864731704,0.2934091777731127,0.0,0.5,0.8888888888888888
7,0,EA,9.501420808431256,0.25414086608085673,0.0,0.5,0.42857142857142855
7,0,EA,13.166803310993533,0.2950420183603099,0.0,0.4535087443952845,1.3514030672882233
8,0,EA,10.95954018614838,0.2868286891948636,0.0,0.6666666666666666,1.3514030672882233
9,0,EA,13.705680023636328,0.32537929029931945,1.0,0.5,1.3514030672882233
10,0,EA,18.16841232054077,0.35211590159857536,0.0,0.46153846153846156,0.5454545454545454
1,1,EA,13.166803310993533,0.2950420183603099,0.0,0.4535087443952845,1.3514030672882233
2,1,EA,18.18901085708858,0.34365858083052475,0.0,0.15384615384615385,1.1111111111111112
3,0,EA,15.356664661132266,0.324750726763242,1.0,0.4,1.9166666666666667
4,1,EA,14.696370748978644,0.2949146979777043,0.0,0.46153846153846156,0.45454545454545453
4,1,EA,13.166803310993533,0.2950420183603099,0.0,0.4535087443952845,1.3514030672882233
5,1,EA,19.850428253726896,0.34015710027811186,0.0,0.5454545454545454,1.1111111111111112
6,1,EA,21.803498039795883,0.33884954383569,1.0,0.2727272727272727,1.2105263157894737
7,1,EA,21.60294235693453,0.3076301935300226,0.0,0.16666666666666666,2.8181818181818183
8,1,EA,23.782439470644302,0.4010153596580012,2.0,0.42857142857142855,2.9
9,1,EA,19.836735850186887,0.37365703983710064,0.0,0.7692307692307693,1.0555555555555556
10,0,EA,18.56939577572721,0.38063263278716636,1.0,0.38461538461538464,1.4666666666666666
1,0,EA,13.166803310993533,0.2950420183603099,0.0,0.4535087443952845,1.3514030672882233
2,0,EA,14.808735981244583,0.36045499787133495,0.0,0.46153846153846156,1.3514030672882233
3,0,EA,12.779049032294871,0.30385202661978006,0.0,0.4166666666666667,1.3514030672882233
