year,lgID,tmID,franchID,confID,divID,rank,playoff,seeded,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,won_x,lost_x,GP_x,homeW,homeL,awayW,awayL,confW,confL,min,attend,arena,playerID,stint_x,GP_y,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,award,coachID,stint_y,won_y,lost_y,post_wins,post_losses,W,L,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate
10,WNBA,ATL,ATL,EA,,2,Y,0,L,,,Atlanta Dream,1089,2428,569,755,114,374,404,855,1259,547,741,329,590,121,2861,996,2363,624,807,181,530,353,821,1174,615,700,347,601,133,2797,0,0,0,0,0,0,18,16,34,12,5,6,11,10,12,6950,120737,Philips Arena,mccouan01w,0,34,10,735,435,35,70,105,71,74,12,72,92,336,160,135,100,51,15,2,2,2,58,38,1,10,11,6,2,0,12,7,31,15,6,4,7,4,0,Rookie of the Year,meadoma99w,0,18,16,0,2,0,2,F,0,0,73.0,160,Louisville,,1986-09-10,0000-00-00
1,WNBA,CLE,CLE,EA,,2,Y,0,W,L,,Cleveland Rockers,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0,0,0,0,0,0,17,15,32,13,3,4,12,13,8,6500,137532,Quicken Loans Arena,mcconsu01w,0,32,32,705,173,9,41,50,119,15,1,69,30,140,58,25,19,97,38,0,6,6,147,39,3,11,14,25,5,1,16,5,45,14,2,2,36,9,0,Kim Perrot Sportsmanship Award,hugheda99w,0,17,15,3,3,3,3,G,0,0,65.0,125,Penn State,,1966-07-29,0000-00-00
5,WNBA,CON,CON,EA,,1,Y,0,W,W,L,Connecticut Sun,876,2051,434,590,149,467,321,724,1045,572,610,299,462,96,2335,858,1996,443,599,145,384,306,757,1063,565,627,239,492,113,2304,0,0,0,0,0,0,18,16,34,10,7,8,9,14,6,6900,114017,Mohegan Sun Arena,palmewe01w,0,33,33,786,297,47,135,182,30,23,5,40,77,253,108,85,68,41,13,0,8,8,156,44,10,25,35,1,3,3,8,11,49,18,8,5,12,3,0,Most Improved Player,thibami99w,0,18,16,5,3,5,3,F,0,0,74.0,165,Virginia,,1974-08-12,0000-00-00
6,WNBA,CON,CON,EA,,1,Y,0,W,W,W,Connecticut Sun,916,2025,512,688,130,373,322,788,1110,573,624,236,452,130,2474,835,2100,452,599,122,400,350,728,1078,495,675,258,442,79,2244,0,0,0,0,0,0,26,8,34,14,3,12,5,13,7,6800,121944,Mohegan Sun Arena,mcwilta01w,0,34,34,1083,471,78,170,248,65,37,25,59,80,364,180,136,107,18,4,1,8,8,284,127,22,53,75,13,9,11,16,23,94,48,38,30,3,1,0,Kim Perrot Sportsmanship Award,thibami99w,0,26,8,5,3,5,3,F-C,0,0,74.0,188,St. Edwards,,1970-10-20,0000-00-00
7,WNBA,CON,CON,EA,,1,Y,0,W,L,,Connecticut Sun,982,2216,545,675,174,510,342,926,1268,630,530,252,514,153,2683,948,2357,358,500,163,508,370,783,1153,528,646,273,486,103,2417,0,0,0,0,0,0,26,8,34,14,3,12,5,15,5,6825,126096,Mohegan Sun Arena,douglka01w,0,32,32,1003,525,38,83,121,79,62,4,73,48,404,179,112,94,173,73,0,4,4,125,48,6,9,15,10,4,1,11,1,45,18,5,4,27,8,0,All-Star Game Most Valuable Player,thibami99w,0,26,8,3,2,3,2,G-F,0,0,72.0,167,Purdue,,1979-05-07,0000-00-00
4,WNBA,DET,DET,EA,,1,Y,0,W,W,W,Detroit Shock,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0,0,0,0,0,0,25,9,34,13,4,12,5,18,6,6900,133647,The Palace of Auburn Hills,fordch01w,0,32,32,956,344,99,235,334,27,32,31,79,109,270,128,129,88,0,0,1,8,8,232,67,25,55,80,4,11,6,10,30,74,24,23,19,0,0,0,Rookie of the Year,laimbbi01w,0,25,9,6,2,6,2,F,0,0,75.0,198,Louisiana Tech,,1981-06-06,0000-00-00
8,WNBA,DET,DET,EA,,1,Y,0,W,W,L,Detroit Shock,972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,0,0,0,0,0,0,24,10,34,12,5,12,5,14,6,6850,165738,The Palace of Auburn Hills,fordch01w,0,15,15,460,195,48,120,168,22,28,11,42,54,143,71,83,53,0,0,0,10,8,228,69,33,59,92,4,5,3,14,32,65,27,33,15,1,0,0,All-Star Game Most Valuable Player,laimbbi01w,0,24,10,6,5,6,5,F,0,0,75.0,198,Louisiana Tech,,1981-06-06,0000-00-00
4,WNBA,DET,DET,EA,,1,Y,0,W,W,W,Detroit Shock,902,2004,624,882,125,323,379,851,1230,545,605,263,608,158,2553,911,2286,412,556,161,541,390,674,1064,504,774,309,497,129,2395,0,0,0,0,0,0,25,9,34,13,4,12,5,18,6,6900,133647,The Palace of Auburn Hills,rileyru01w,0,34,34,995,327,59,142,201,64,25,58,82,128,231,115,127,97,0,0,2,8,8,258,103,15,34,49,20,5,20,13,26,106,41,26,21,0,0,0,WNBA Finals Most Valuable Player,laimbbi01w,0,25,9,6,2,6,2,C,0,0,77.0,198,Notre Dame,,1979-08-28,0000-00-00
7,WNBA,DET,DET,EA,,2,Y,0,W,W,W,Detroit Shock,919,2220,553,746,136,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,0,0,0,0,0,0,23,11,34,14,3,9,8,14,6,6825,159453,The Palace of Auburn Hills,nolande01w,0,34,34,1088,468,32,121,153,124,47,11,86,79,425,172,100,85,113,39,1,10,10,357,178,8,33,41,39,16,2,27,19,148,72,30,25,21,9,0,WNBA Finals Most Valuable Player,laimbbi01w,0,23,11,7,3,7,3,G-F,0,0,69.0,147,Georgia,,1979-08-25,0000-00-00
7,WNBA,DET,DET,EA,,2,Y,0,W,W,W,Detroit Shock,919,2220,553,746,136,414,406,880,1286,572,711,213,537,137,2527,840,2165,529,702,175,561,324,760,1084,474,733,275,506,108,2384,0,0,0,0,0,0,23,11,34,14,3,9,8,14,6,6825,159453,The Palace of Auburn Hills,smithka01w,0,34,34,1137,398,19,73,92,112,25,4,65,78,302,123,102,93,161,59,0,10,10,371,147,7,18,25,40,5,0,24,29,117,51,34,25,50,20,0,WNBA All-Decade Team,laimbbi01w,0,23,11,7,3,7,3,G-F,0,0,71.0,174,Ohio State,,1974-06-04,0000-00-00
